Prow Job	Variants	Extended Variants
periodic-ci-openshift-release-master-ci-4.20-e2e-azure-ovn-upgrade-out-of-change	azure-ovn-upgrade-out-of-change	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-ci-4.20-e2e-gcp-ovn-upgrade	gcp-ovn-upgrade-micro	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-upgrade-analysis-all	upgrade-analysis-all	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ipi-serial-ovn-ipv6	metal-ipi-serial-ipv6	ha,serial
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ipi-ovn-techpreview	metal-ipi-ovn-techpreview	ha,parallel
periodic-ci-openshift-microshift-release-4.20-periodics-e2e-aws-ovn-ocp-conformance	microshift-ovn-conformance-parallel	ha,parallel
periodic-ci-openshift-kni-eco-ci-cd-main-nightly-4.20-telcov10n-metal-single-node-spoke	telcov10n-metal-single-node-spoke	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-agent-single-node-ipv6-conformance	agent-single-node-ipv6	single-node,parallel
periodic-ci-openshift-release-master-ci-4.20-e2e-aws-ovn-techpreview-serial	aws-ovn-techpreview-serial	ha,serial
periodic-ci-openshift-release-master-cnv-nightly-4.20-deploy-azure-kubevirt-ovn	cnv	ha,parallel
periodic-ci-openshift-cluster-control-plane-machine-set-operator-release-4.20-periodics-e2e-gcp	gcp-control-plane-machine-set-operator	ha,parallel
periodic-ci-openshift-release-master-ci-4.20-upgrade-from-stable-4.19-e2e-vsphere-ovn-upgrade	vsphere-ovn-upgrade-minor	upgrade-minor,ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-metal-ovn-single-node-recert-cluster-rename	metal-ovn-single-node-recert-cluster-rename	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-aws-ovn-single-node-csi	aws-ovn-single-node-csi	single-node,parallel,csi
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ipi-ovn-bm-upgrade	metal-ipi-ovn-bm-upgrade	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ovn-single-node-live-iso	ovn-single-node-live-iso	single-node,parallel
periodic-ci-openshift-eng-ocp-qe-perfscale-ci-main-aws-4.20-nightly-x86-payload-control-plane-6nodes	qe-perfscale	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-vsphere-ovn-upi-serial	vsphere-ovn-upi-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.20-e2e-aws-ovn-cgroupsv2	aws-ovn-cgroupsv2	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-install-analysis-all	install-analysis-all	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ipi-ovn-dualstack	metal-ipi-ovn-dualstack	ha,parallel
